nuclide	z	constant(/hr)	d_constant(/hr)		
H-3	1	6.41E-06	0	1.00E+00	
Co-60	27	1.50E-05	0	1.00E+00	
Kr-85	36	7.38E-06	0	1.00E+00	
Kr-85m	36	1.55E-01	0	8.56E-01	
Kr-87	36	5.45E-01	1.68E-15	5.80E-01	
Kr-88	36	2.45E-01	2.33645117	7.83E-01	
Sr-89	38	5.72E-04	0	9.99E-01	
Sr-90	38	2.72E-06	0.010830425	1.00E+00	
Zr-95	40	4.51E-04	0.000821654	1.00E+00	
Ru-103	44	7.36E-04	0.741069687	9.99E-01	
Ru-106	44	7.85E-05	83.45584783	1.00E+00	
Te-132	52	8.85E-03	0.301368339	9.91E-01	
I-131	53	3.59E-03	0.002426986	9.96E-01	
I-132	53	3.01E-01	0	7.40E-01	
I-133	53	3.33E-02	0.005506412	9.67E-01	
I-134	53	7.90E-01	0	4.54E-01	
I-135	53	1.05E-01	0.076253815	9.00E-01	
Xe-133	54	5.51E-03	0	9.95E-01	
Xe-135	54	7.63E-02	3.44E-11	9.27E-01	
Cs-134	55	3.84E-05	0	1.00E+00	
Cs-137	55	2.64E-06	16.29656381	9.98E-01	
Ba-140	56	2.27E-03	0.01721164	1.00E+00	
Ce-144	58	1.01E-04	2.406761044	1.00E+00	
Np-239	93	1.23E-02	3.29E-09	9.88E-01	
Pu-238	94	9.01E-07	3.24E-10	1.00E+00	
Pu-239	94	3.29E-09	1.12E-13	1.00E+00	
Pu-240	94	1.21E-08	3.38E-12	1.00E+00	
Pu-241	94	5.50E-06	1.83E-07	1.00E+00	
Am-241	95	1.83E-07	3.70E-11	1.00E+00	
Cm-242	96	1.77E-04	9.02E-07	1.00E+00	
Cm-244	96	4.37E-06	1.21E-08	1.00E+00	
					
					
					
