Nuclide	Z	Mass	Effective Dose	Thyroid Dose
H-3	1	3	0.00E+00	0.00E+00
Co-60	27	60	1.19E-13	0.00E+00
Kr-85	36	85	2.40E-16	0.00E+00
Kr-85m	36	85	6.87E-15	0.00E+00
Kr-87	36	87	3.97E-14	0.00E+00
Kr-88	36	88	9.71E-14	0.00E+00
Sr-89	38	89	4.37E-16	0.00E+00
Sr-90	38	90	9.83E-17	0.00E+00
Zr-95	40	95	3.36E-14	0.00E+00
Ru-103	44	103	2.08E-14	0.00E+00
Ru-106	44	106	0.00E+00	0.00E+00
Te-132	52	132	9.32E-15	0.00E+00
I-131	53	131	1.69E-14	1.81E-14
I-132	53	132	1.05E-13	1.12E-13
I-133	53	133	2.76E-14	2.93E-14
I-134	53	134	1.22E-13	1.30E-13
I-135	53	135	7.54E-14	8.01E-14
Xe-133	54	133	1.33E-15	0.00E+00
Xe-135	54	135	1.10E-14	0.00E+00
Cs-134	55	134	7.06E-14	0.00E+00
Cs-137	55	137	9.28E-17	0.00E+00
Ba-140	56	140	8.07E-15	0.00E+00
Ce-144	58	144	7.63E-16	0.00E+00
Np-239	93	239	6.95E-15	0.00E+00
Pu-238	94	238	3.50E-18	0.00E+00
Pu-239	94	239	3.48E-18	0.00E+00
Pu-240	94	240	3.42E-18	0.00E+00
Pu-241	94	241	6.33E-20	0.00E+00
Am-241	95	241	6.74E-16	0.00E+00
Cm-242	96	242	4.02E-18	0.00E+00
Cm-244	96	244	3.40E-18	0.00E+00
