Nuclide	Z	Mass	Effective Dose	Thyroid Dose	d_ED	d_TD
H-3	1	3	0.00E+00	0.00E+00	0	0.00E+00
Co-60	27	60	2.30E-15	0.00E+00	0	0.00E+00
Kr-85	36	85	1.05E-17	0.00E+00	0	0.00E+00
Kr-85m	36	85	1.57E-16	0.00E+00	0	0.00E+00
Kr-87	36	87	8.40E-16	0.00E+00	7.30E-20	0.00E+00
Kr-88	36	88	1.73E-15	0.00E+00	7.41E-16	0.00E+00
Sr-89	38	89	6.86E-17	0.00E+00	0	0.00E+00
Sr-90	38	90	1.64E-18	0.00E+00	5.97E-16	0.00E+00
Zr-95	40	95	7.04E-16	0.00E+00	7.28E-16	0.00E+00
Ru-103	44	103	4.49E-16	0.00E+00	8.86E-19	0.00E+00
Ru-106	44	106	0.00E+00	0.00E+00	3.45E-16	0.00E+00
Te-132	52	132	2.12E-16	0.00E+00	2.20E-15	2.19E-15
I-131	53	131	3.64E-16	3.71E-16	1.60E-17	0.00E+00
I-132	53	132	2.20E-15	2.19E-15	0	0.00E+00
I-133	53	133	6.17E-16	5.94E-16	3.95E-17	0.00E+00
I-134	53	134	2.53E-15	2.48E-15	0	0.00E+00
I-135	53	135	1.47E-15	1.40E-15	2.50E-16	0.00E+00
Xe-133	54	133	3.95E-17	0.00E+00	0	0.00E+00
Xe-135	54	135	2.50E-16	0.00E+00	2.69E-20	0.00E+00
Cs-134	55	134	1.48E-15	0.00E+00	0	0.00E+00
Cs-137	55	137	2.99E-18	0.00E+00	5.79E-16	0.00E+00
Ba-140	56	140	1.90E-16	0.00E+00	2.16E-15	0.00E+00
Ce-144	58	144	1.84E-17	0.00E+00	1.63E-16	0.00E+00
Np-239	93	239	1.54E-16	0.00E+00	2.84E-19	0.00E+00
Pu-238	94	238	6.26E-19	0.00E+00	5.86E-19	0.00E+00
Pu-239	94	239	2.84E-19	0.00E+00	1.40E-16	0.00E+00
Pu-240	94	240	6.01E-19	0.00E+00	5.03E-19	0.00E+00
Pu-241	94	241	1.72E-21	0.00E+00	2.33E-17	0.00E+00
Am-241	95	241	2.33E-17	0.00E+00	2.52E-17	0.00E+00
Cm-242	96	242	7.02E-19	0.00E+00	6.26E-19	0.00E+00
Cm-244	96	244	6.44E-19	0.00E+00	6.01E-19	0.00E+00
