Nuclide	Z	Mass	Age Group	Effective Dose	Thyroid Dose
H-3	1	3	10y	8.20E-11	0.00E+00
Co-60	27	60	10y	1.50E-08	0.00E+00
Kr-85	36	85	10y	0.00E+00	0.00E+00
Kr-85m	36	85	10y	0.00E+00	0.00E+00
Kr-87	36	87	10y	0.00E+00	0.00E+00
Kr-88	36	88	10y	0.00E+00	0.00E+00
Sr-89	38	89	10y	9.10E-09	0.00E+00
Sr-90	38	90	10y	5.10E-08	0.00E+00
Zr-95	40	95	10y	6.80E-09	0.00E+00
Ru-103	44	103	10y	3.50E-09	0.00E+00
Ru-106	44	106	10y	4.10E-08	0.00E+00
Te-132	52	132	10y	4.00E-09	0.00E+00
I-131	53	131	10y	1.90E-08	3.70E-07
I-132	53	132	10y	2.20E-10	3.40E-09
I-133	53	133	10y	3.80E-09	7.40E-08
I-134	53	134	10y	9.70E-11	6.50E-10
I-135	53	135	10y	7.90E-10	1.50E-08
Xe-133	54	133	10y	0.00E+00	0.00E+00
Xe-135	54	135	10y	0.00E+00	0.00E+00
Cs-134	55	134	10y	5.30E-09	0.00E+00
Cs-137	55	137	10y	3.70E-09	0.00E+00
Ba-140	56	140	10y	7.60E-09	0.00E+00
Ce-144	58	144	10y	5.50E-08	0.00E+00
Np-239	93	239	10y	1.40E-09	0.00E+00
Pu-238	94	238	10y	4.40E-05	0.00E+00
Pu-239	94	239	10y	4.80E-05	0.00E+00
Pu-240	94	240	10y	4.80E-05	0.00E+00
Pu-241	94	241	10y	8.30E-07	0.00E+00
Am-241	95	241	10y	4.00E-05	0.00E+00
Cm-242	96	242	10y	7.30E-06	0.00E+00
Cm-244	96	244	10y	2.70E-05	0.00E+00
