Nuclide	Z	Mass	Age Group	Effective Dose	Thyroid Dose
H-3	1	3	3m	3.40E-10	0.00E+00
Co-60	27	60	3m	4.20E-08	0.00E+00
Kr-85	36	85	3m	0.00E+00	0.00E+00
Kr-85m	36	85	3m	0.00E+00	0.00E+00
Kr-87	36	87	3m	0.00E+00	0.00E+00
Kr-88	36	88	3m	0.00E+00	0.00E+00
Sr-89	38	89	3m	3.30E-08	0.00E+00
Sr-90	38	90	3m	1.50E-07	0.00E+00
Zr-95	40	95	3m	2.00E-08	0.00E+00
Ru-103	44	103	3m	1.10E-08	0.00E+00
Ru-106	44	106	3m	1.40E-07	0.00E+00
Te-132	52	132	3m	1.60E-08	0.00E+00
I-131	53	131	3m	7.20E-08	1.40E-06
I-132	53	132	3m	1.10E-09	1.80E-08
I-133	53	133	3m	1.90E-08	3.80E-07
I-134	53	134	3m	4.60E-10	3.40E-09
I-135	53	135	3m	4.10E-09	7.70E-08
Xe-133	54	133	3m	0.00E+00	0.00E+00
Xe-135	54	135	3m	0.00E+00	0.00E+00
Cs-134	55	134	3m	1.10E-08	0.00E+00
Cs-137	55	137	3m	8.80E-09	0.00E+00
Ba-140	56	140	3m	2.70E-08	0.00E+00
Ce-144	58	144	3m	1.90E-07	0.00E+00
Np-239	93	239	3m	5.90E-09	0.00E+00
Pu-238	94	238	3m	7.80E-05	0.00E+00
Pu-239	94	239	3m	8.00E-05	0.00E+00
Pu-240	94	240	3m	8.00E-05	0.00E+00
Pu-241	94	241	3m	9.10E-07	0.00E+00
Am-241	95	241	3m	7.30E-05	0.00E+00
Cm-242	96	242	3m	2.20E-05	0.00E+00
Cm-244	96	244	3m	6.20E-05	0.00E+00
