Nuclide	Z	Mass	Age Group	Effective Dose	Thyroid Dose
H-3	1	3	A	4.50E-11	0.00E+00
Co-60	27	60	A	1.00E-08	0.00E+00
Kr-85	36	85	A	0.00E+00	0.00E+00
Kr-85m	36	85	A	0.00E+00	0.00E+00
Kr-87	36	87	A	0.00E+00	0.00E+00
Kr-88	36	88	A	0.00E+00	0.00E+00
Sr-89	38	89	A	6.10E-09	0.00E+00
Sr-90	38	90	A	3.60E-08	0.00E+00
Zr-95	40	95	A	4.80E-09	0.00E+00
Ru-103	44	103	A	2.40E-09	0.00E+00
Ru-106	44	106	A	2.80E-08	0.00E+00
Te-132	52	132	A	2.00E-09	0.00E+00
I-131	53	131	A	7.40E-09	1.50E-07
I-132	53	132	A	9.40E-11	1.40E-09
I-133	53	133	A	1.50E-09	2.80E-08
I-134	53	134	A	4.50E-11	2.60E-10
I-135	53	135	A	3.20E-10	5.70E-09
Xe-133	54	133	A	0.00E+00	0.00E+00
Xe-135	54	135	A	0.00E+00	0.00E+00
Cs-134	55	134	A	6.60E-09	0.00E+00
Cs-137	55	137	A	4.60E-09	0.00E+00
Ba-140	56	140	A	5.10E-09	0.00E+00
Ce-144	58	144	A	3.60E-08	0.00E+00
Np-239	93	239	A	9.30E-10	0.00E+00
Pu-238	94	238	A	4.60E-05	0.00E+00
Pu-239	94	239	A	5.00E-05	0.00E+00
Pu-240	94	240	A	5.00E-05	0.00E+00
Pu-241	94	241	A	9.00E-07	0.00E+00
Am-241	95	241	A	4.20E-05	0.00E+00
Cm-242	96	242	A	5.20E-06	0.00E+00
Cm-244	96	244	A	2.70E-05	0.00E+00
